date,description,amount
2026-04-15,OFFICE RENT april,2946.96
2026-04-06,SMITH ATTORNEY at law,2915.45
2026-04-11,SALES TAX remittance,11474.7
2026-04-20,MAILCHIMP monthly,717.91
2026-04-10,SQ *UNLISTED VENDOR,190.05
2026-04-19,DATADOG monitoring,166.09
2026-04-05,NY DEPT OF REVENUE,5492.2
2026-04-03,VERCEL INC hosting,989.1
2026-04-14,ANTHROPIC api credits,89.75
2026-04-13,GITHUB.COM subscription,788.1
2026-04-08,SLACK T012345,764.14
2026-04-19,MARRIOTT hotels NYC,576.55
2026-04-27,WEWORK membership,4539.36
2026-04-23,GOOGLE ADS campaign,2021.09
2026-04-19,DOORDASH * order,296.11
2026-04-05,JETBLUE airways,920.22
2026-04-05,GUSTO pay run,20798.86
2026-04-04,CHECK #1043,1504.35
2026-04-05,UNITED AIRLINES ticket,548.62
2026-04-09,INTERNET service,862.59
2026-04-04,AIRBNB * HMXYZ,980.77
2026-04-24,OFFICE DEPOT #12,412.22
2026-04-21,LYFT ride,398.05
2026-04-02,AMZN MKTP US*2K4,105.61
2026-04-11,AWS EMEA cloud services,1138.48
2026-04-14,RIPPLING payroll,4705.73
2026-04-27,SPECTRUM business,434.34
2026-04-02,FIGMA monthly,1093.45
2026-04-27,POS DEBIT 8841,1390.27
2026-04-16,STAPLES 00489,789.5
2026-04-23,MONTHLY SERVICE CHARGE,28.75
2026-04-19,SQ *THE CORNER CAFE,55.19
2026-04-04,BEST BUY business,468.06
2026-04-28,WORKERS COMP policy,1937.94
2026-04-24,THE HARTFORD premium payment,413.39
2026-04-23,ESTIMATED TAX q2,10423.06
2026-04-02,SEMRUSH seo,1208.31
2026-04-12,SWEETGREEN nomad,101.53
2026-04-15,VENMO * J DOE,971.18
2026-04-19,COMCAST xfinity internet,894.2
2026-04-10,TIKTOK ADS,777.3
2026-04-20,HISCOX insurance,1675.43
2026-04-08,OPENAI API usage,127.04
2026-04-04,APPLE STORE r123,315.95
2026-04-04,TST* BISTRO 44,304.07
2026-04-23,AT&T business,320.07
2026-04-03,HERTZ rent a car,955.27
2026-04-23,REGUS office,4776.16
2026-04-15,LINKEDIN ADS,1874.0
2026-04-11,AWS EMEA cloud services,1138.48
2026-04-28,GEICO commercial,1729.21
2026-04-18,DEEL contractor pay,14314.47
2026-04-08,DELOITTE advisory,2628.23
2026-04-02,MONGODB ATLAS,1171.98
2026-04-16,NORDSTROM #55,893.9
2026-04-19,SNOWFLAKE computing,710.94
2026-04-16,DHL express,257.01
2026-04-18,ACME BOOKKEEPING svc,1955.9
2026-04-14,ATLASSIAN jira cloud,513.44
2026-04-02,DELTA AIR LINES 0062,943.86
2026-04-07,ZOOM.US video,64.24
2026-04-20,EXPEDIA travel,424.82
2026-04-28,WIRE FEE outgoing,37.11
2026-04-05,STRIPE FEE payout,8.15
2026-04-28,KPMG audit,3180.44
2026-04-03,CON EDISON electric,853.53
2026-04-13,USPS po box,163.1
2026-04-04,HELVETICA STUDIO LLC,1045.98
2026-04-05,PWC consulting,4987.97
2026-04-06,ADP payroll fees,17628.54
2026-04-12,FRANCHISE TAX board,7629.9
2026-03-27,STARBUCKS store 118,169.1
2026-02-15,WEWORK membership,8688.14
2026-04-12,ATM FEE withdrawal,45.33
2026-04-20,BLUE BOTTLE 44,121.62
2026-04-25,CHIPOTLE 2201,106.01
2026-04-25,GRUBHUB catering,84.16
2026-04-22,FACEBOOK ADS meta,1832.98
2026-04-19,UBER EATS delivery,101.68
2026-04-22,STARBUCKS store 118,173.9
2026-04-18,FEDEX 8829,162.42
2026-04-20,PARKING garage 5th ave,157.74
2026-04-02,SHIPSTATION label,83.53
2026-04-16,INDUSTRIOUS office,6269.32
2026-04-13,FOREIGN TRANSACTION FEE,62.38
2026-05-02,AWS EMEA cloud services,262.15
2026-04-27,PACKAGING inventory,9329.9
2026-04-26,DUNKIN #33,64.09
2026-04-16,NATIONAL GRID gas bill,645.52
2026-04-04,AMTRAK northeast,930.66
2026-04-08,SLACK T012345,764.14
2026-04-05,ALIBABA wholesale order,4401.0
2026-04-20,ULINE shipping supplies,882.45
2026-04-13,MARKETING sponsorship,870.47
2026-04-19,ADOBE creative cloud,1138.3
2026-04-07,PITNEY BOWES postage,181.29
2026-04-22,JUSTWORKS peo,5397.17
2026-04-08,RAW MATERIALS supplier,1366.47
2026-04-24,ZELLE payment,544.22
2026-04-04,NOTION LABS annual plan,451.51
2026-04-09,IRS USATAXPYMT,3957.62
2026-04-28,LEGAL retainer,1564.54
2026-04-27,HILTON garden inn,1129.36
2026-04-03,VERIZON wireless,110.96
